COUNTY,CENTER,PHONE,AGES,CAPACITY,CITY,ADDR1,ADDR2,ZIP,Full Address,lon,lat
Gloucester,Williamstown HeadStart,856-262-9438,0 to 6,119,Williamstown,245 Glassboro Rd,St. Matthews Community Center,8094,"245 Glassboro Rd,Williamstown, NJ 8094",-75.0008661,39.6859604
Sussex,Rainbows of Learning,973-383-5956,0 to 13,106,Augusta,118 Rt. 206,,7822,"118 Rt. 206,Augusta, NJ 7822",-74.7229507,41.1279896
Middlesex,"Little Genius Academy of Edison, LLC",732-248-6106,0 to 13,225,Edison,38 Vineyard Rd,,8817,"38 Vineyard Rd,Edison, NJ 8817",-74.3777865,40.5184508
Bergen,Gan Aviv Day Care,201-384-6111,0 to 6,117,Bergenfield,21 West Main Street,,7621,"21 West Main Street,Bergenfield, NJ 7621",-73.9971631,40.928028
Salem,Penns Grove HeadStart II,856-469-9500,0 to 6,69,Penns Grove,11 N Broad St,,8069,"11 N Broad St,Penns Grove, NJ 8069",-75.467267,39.729963
Burlington,The Goddard School,856-235-7006,0 to 13,173,Moorestown,240 W Route 38,,8057,"240 W Route 38,Moorestown, NJ 8057",-74.9516347,39.9513747
Morris,Richard F. Blake Children's Center,973-984-2255,0 to 6,211,Cedar Knolls,65 Horsehill Rd,,7927,"65 Horsehill Rd,Cedar Knolls, NJ 7927",-74.4643244,40.813164
Cumberland,Cheryl L. Chadwich Early Learning Center,856-451-6388,0 to 6,75,Bridgeton,10 Washington St,,8302,"10 Washington St,Bridgeton, NJ 8302",-75.234705,39.4311239
Cumberland,Linda Dechen Early Learning Center,856-453-0803,0 to 13,109,Vineland,237 W Chestnut Ave,,8360,"237 W Chestnut Ave,Vineland, NJ 8360",-75.032544,39.477866
Essex,Ironbound Early Learning Center,973-589-6873,0 to 13,214,Newark,One New York Avenue,,7105,"One New York Avenue,Newark, NJ 7105",-74.1697845,40.7285136
Burlington,Future Scholars Early Learning Center Inc.,609-518-1333,0 to 13,173,Hainesport,1351 Route 38,Building B Suite 1,8036,"1351 Route 38,Hainesport, NJ 8036",-74.838213,39.9759057
Hudson,Hoboken Children's Academy,201-656-5700,0 to 13,40,Hoboken,501 Willow Street,,7030,"501 Willow Street,Hoboken, NJ 7030",-74.0327427,40.7429908
Hudson,"Happy Today & Bright Tomorrow, LLC",201-330-9040,0 to 13,48,Union City,1905-1907 Kerrigan Avenue,,7087,"1905-1907 Kerrigan Avenue,Union City, NJ 7087",-74.039921,40.766772
Passaic,Rainbow Montessori School I,973-772-2330,0 to 13,135,Clifton,22 Varettoni Pl,,7011,"22 Varettoni Pl,Clifton, NJ 7011",-74.1251387,40.8794417
Mercer,Knowledge Beginnings,609-448-4333,0 to 13,135,East Windsor,300 D Princeton-Hightstown Roa,,8520,"300 D Princeton-Hightstown Roa,East Windsor, NJ 8520",-74.5595233,40.2854901
Cape May,The Children's Country Place,609-624-8624,0 to 13,60,Seaville,3080 South Route 9,,8230,"3080 South Route 9,Seaville, NJ 8230",-74.7146066,39.1961341
Hudson,World of Wonder,201-222-8004,0 to 6,19,Hoboken,133 Harrison Street,,7030,"133 Harrison Street,Hoboken, NJ 7030",-74.0413708,40.740533
Monmouth,Breezy's Backyard,732-455-5170,0 to 6,30,Neptune,7 Atkins Avnue,,7753,"7 Atkins Avnue,Neptune, NJ 7753",-74.021221,40.213061
Camden,Clockwise Childcare,856-354-1990,0 to 13,48,Cherry Hill,1808 Haddonfield-Berlin Road,,8003,"1808 Haddonfield-Berlin Road,Cherry Hill, NJ 8003",-74.9937872,39.8661808
Passaic,Chai Tots of Passaic,973-246-5251,0 to 6,30,Passaic,482 Brook Avenue,,7055,"482 Brook Avenue,Passaic, NJ 7055",-74.1452614,40.8487808
Hudson,World of Wonder,551-208-7176,0 to 6,16,Hoboken,201 Harrison Street,,7030,"201 Harrison Street,Hoboken, NJ 7030",-74.0413081,40.7416626
Ocean,Ocean Inc. Kids Child Development Center,732-244-5333,0 to 6,120,Toms River,Ocean County College,1 College Drive,8753,"Ocean County College,Toms River, NJ 8753",-74.1979458,39.9537358
Burlington,Creme De La Creme,856-316-7233,0 to 13,302,Mt. Laurel,299 Walton Avenue,,8054,"299 Walton Avenue,Mt. Laurel, NJ 8054",-74.9062778,39.9589911
Bergen,Rutherford Montessori School,201-842-1515,0 to 13,72,Rutherford,128 West Passaic Avenue,,7070,"128 West Passaic Avenue,Rutherford, NJ 7070",NA,NA
Gloucester,Healing Wings Christian Daycare Center,856-442-0407,0 to 13,30,Glassboro,520 Stanger Avenue,,8028,"520 Stanger Avenue,Glassboro, NJ 8028",NA,NA
Union,The Goddard School,908-232-5250,0 to 13,159,Fanwood,324 South Avenue,,7023,"324 South Avenue,Fanwood, NJ 7023",NA,NA
Gloucester,Free To Be Me,856-478-4204,0 to 13,99,Mullica Hill,63 Woodstown Road,,8062,"63 Woodstown Road,Mullica Hill, NJ 8062",NA,NA
Essex,"Executive Baby, Inc.",973-743-3531,0 to 6,88,Bloomfield,102 Broad Street,,7003,"102 Broad Street,Bloomfield, NJ 7003",NA,NA
Passaic,Dana's Day Care,973-478-1050,0 to 13,66,Clifton,1410 Main Avenue,,7011,"1410 Main Avenue,Clifton, NJ 7011",NA,NA
Hudson,Super Kids Academy,201-991-8855,0 to 13,56,Kearny,73 B Kearny Ave.,,7032,"73 B Kearny Ave.,Kearny, NJ 7032",NA,NA
Atlantic,"Providence Pediatric Medical Day Care, Inc.",609-345-2340,0 to 6,56,Atlantic City,35 S. Annapolis Avenue,,8401,"35 S. Annapolis Avenue,Atlantic City, NJ 8401",NA,NA
Burlington,MKB's Over the Rainbow Child Care Center,856-482-1800,0 to 13,75,Maple Shade,300 Fox Meadow Drive,,8052,"300 Fox Meadow Drive,Maple Shade, NJ 8052",NA,NA
Cumberland,Impact Child Care Program,856-794-6700,0 to 6,400,Vineland,301 South East Blvd,,8360,"301 South East Blvd,Vineland, NJ 8360",NA,NA
Essex,Childrens Creative Learning Center,973-466-4260,0 to 13,90,Newark,3 Penn Plaza East,,7105,"3 Penn Plaza East,Newark, NJ 7105",NA,NA
Somerset,Sunshine Preschool,908-604-2707,0 to 13,120,Basking Ridge,3575 Valley Rd,,7920,"3575 Valley Rd,Basking Ridge, NJ 7920",NA,NA
Burlington,"Childtime Childcare, Inc - Medford",609-953-5497,0 to 13,102,Medford,137 Jackson Road,,8055,"137 Jackson Road,Medford, NJ 8055",NA,NA
Warren,"Heavenly Angels Learning Center, LLC",908-859-2432,0 to 13,57,Phillipsburg,137 Chambers Street,,8865,"137 Chambers Street,Phillipsburg, NJ 8865",NA,NA
Morris,Bright Horizons at Campus Drive,973-443-0366,0 to 13,40,Florham Park,100 Campus Drive,,7932,"100 Campus Drive,Florham Park, NJ 7932",NA,NA
Hudson,Westside Academy,201-433-7878,0 to 6,50,Jersey City,400 Westside Ave.,,7304,"400 Westside Ave.,Jersey City, NJ 7304",NA,NA
Hudson,Bright Beginnings Early Learning Center,201-222-9004,0 to 6,36,Hoboken,659 First Street,,7030,"659 First Street,Hoboken, NJ 7030",NA,NA
Middlesex,The Learning Experience,732-432-7605,0 to 13,143,East Brunswick,405 State Rte. 18,,8816,"405 State Rte. 18,East Brunswick, NJ 8816",NA,NA
Morris,The Goddard School,973-386-5550,0 to 13,150,Parsippany,311 Smith Road,,7054,"311 Smith Road,Parsippany, NJ 7054",NA,NA
Somerset,Cedar Hill Prep School,908-720-3844,0 to 13,248,Somerset,152 Cedar Grove Lane,,8873,"152 Cedar Grove Lane,Somerset, NJ 8873",NA,NA
Union,"Not Just a Day Care, LLC",908-241-5300,0 to 13,52,Roselle,122 Locust Street,,7203,"122 Locust Street,Roselle, NJ 7203",NA,NA
Hunterdon,Childtime Learning Center,908-782-3395,0 to 13,75,Flemington,43 Barley Sheaf Road,,8822,"43 Barley Sheaf Road,Flemington, NJ 8822",NA,NA
Somerset,Childtime Learning Center,908-359-2499,0 to 6,99,Hillsborough,10 Brower Lane,,8844,"10 Brower Lane,Hillsborough, NJ 8844",NA,NA
Camden,The Learning Experience,856-232-9501,0 to 13,182,Blackwood,606 Little Gloucester Road,,8012,"606 Little Gloucester Road,Blackwood, NJ 8012",NA,NA
Bergen,Teaneck Montessori Day School,201-837-9500,0 to 13,79,Teaneck,61 Church Street,,7666,"61 Church Street,Teaneck, NJ 7666",NA,NA
Monmouth,"Children of America Aberdeen, LLC",732-946-0606,0 to 13,135,Aberdeen,1360 Highway 34,,7747,"1360 Highway 34,Aberdeen, NJ 7747",NA,NA
Essex,A-Z Academy,973-227-9933,0 to 6,60,Fairfield,264 Passaic Avenue,,7004,"264 Passaic Avenue,Fairfield, NJ 7004",NA,NA
Gloucester,Education Partners Early Learning Academy,856-853-8822,0 to 13,150,Westville,20 Cobblestone Lane,,8093,"20 Cobblestone Lane,Westville, NJ 8093",NA,NA
Somerset,Childtime Learning Center,908-234-0985,0 to 13,75,Bridgewater,601 Buena Parkway,,8807,"601 Buena Parkway,Bridgewater, NJ 8807",NA,NA
Burlington,"The Red Balloon Nursery School, Inc",856-824-1112,0 to 13,99,Delran,41 Saint Mehiel Drive,,8075,"41 Saint Mehiel Drive,Delran, NJ 8075",NA,NA
Somerset,Childtime Learning Center,,0 to 13,99,Bedminster,1 Bradford,,7921,"1 Bradford,Bedminster, NJ 7921",NA,NA
Monmouth,"School Time, LLC",609-259-7011,0 to 13,128,Allentown,1253a Yardville-Allentown Road,,8501,"1253a Yardville-Allentown Road,Allentown, NJ 8501",NA,NA
Monmouth,Holmdel Preschool Center,732-888-1919,0 to 13,100,Holmdel,674 North Beers Street,,7733,"674 North Beers Street,Holmdel, NJ 7733",NA,NA
Essex,Muslim Learning Center,973-373-8700,0 to 6,60,Irvington,343-347 16th Avenue,,7111,"343-347 16th Avenue,Irvington, NJ 7111",NA,NA
Passaic,Loving Care Early Learning Center,973-523-5883,0 to 13,90,Paterson,31 Mcbride Avenue,,7501,"31 Mcbride Avenue,Paterson, NJ 7501",NA,NA
Gloucester,Building Blocks Day Care and Preschool,856-423-5606,0 to 6,37,Gibbstown,401 Harmony Road Suite 15,,8027,"401 Harmony Road Suite 15,Gibbstown, NJ 8027",NA,NA
Bergen,"Bright Start Educational Center, Inc",201-703-1730,0 to 13,51,Fair Lawn,4-24 Saddle River Road,,7410,"4-24 Saddle River Road,Fair Lawn, NJ 7410",NA,NA
Passaic,Countryside Childcare and Learning Center,973-556-5915,0 to 13,140,Ringwood,4 Countryside Lane,,7456,"4 Countryside Lane,Ringwood, NJ 7456",NA,NA
Morris,Away We Grow Child Care Center,973-808-8200,0 to 13,30,Parsippany,111 Old Bloomfield Ave.,,7054,"111 Old Bloomfield Ave.,Parsippany, NJ 7054",NA,NA
Essex,Story Hall Daycare Center,862-215-3070,0 to 6,49,Newark,158 Chestnut Street,,7105,"158 Chestnut Street,Newark, NJ 7105",NA,NA
Union,Imagine Nation Learning Center,973-985-9582,0 to 6,75,Union,410 Clermont Terrace,,7083,"410 Clermont Terrace,Union, NJ 7083",NA,NA
Bergen,"Little Treasures Preschool, Inc.",201-385-5200,0 to 13,55,Haworth,276 Haworth Avenue,,7641,"276 Haworth Avenue,Haworth, NJ 7641",NA,NA
Middlesex,"Happy Child DayCare and Nursery, Inc.",732-709-3324,0 to 13,30,Edison,882-884 Amboy Ave,,8837,"882-884 Amboy Ave,Edison, NJ 8837",NA,NA
Bergen,Gan Iris Nursery School,201-475-8880,0 to 13,48,Fair Lawn,11-16 Plaza Road,,7410,"11-16 Plaza Road,Fair Lawn, NJ 7410",NA,NA
Essex,Congregation Beth Ephraim Preschool,973-763-7455,0 to 6,42,Maplewood,"113-117, 120 Parker Avenue",,7040,"113-117, 120 Parker Avenue,Maplewood, NJ 7040",NA,NA
Sussex,"Early Discovery Learning Center, LLC",973-448-6789,0 to 13,50,Stanhope,120 Route 183,,7874,"120 Route 183,Stanhope, NJ 7874",NA,NA
Monmouth,"Children of America - Oakhurst, LLC",732-531-9950,0 to 13,153,Oakhurst,1621 State Route 35,,7755,"1621 State Route 35,Oakhurst, NJ 7755",NA,NA
Camden,"MEL, Inc.",856-966-1722,0 to 13,75,Camden,1131-33 Haddon Avenue,,8103,"1131-33 Haddon Avenue,Camden, NJ 8103",NA,NA
Essex,Congregation Agudath Israel Early Childhood Center,973-226-3600,0 to 6,146,Caldwell,20 Academy Road,,7006,"20 Academy Road,Caldwell, NJ 7006",NA,NA
Hudson,Omega Child Development Center,201-869-3535,0 to 13,154,Guttenberg,6908 Park Ave,,7093,"6908 Park Ave,Guttenberg, NJ 7093",NA,NA
Bergen,The Rainbow Nursery School,201-641-1112,0 to 13,54,Ridgefield Park,62 Cedar Street,,7660,"62 Cedar Street,Ridgefield Park, NJ 7660",NA,NA
Bergen,Scribbles Learning Center,201-945-9445,0 to 13,45,Edgewater,725 River Road,,7028,"725 River Road,Edgewater, NJ 7028",NA,NA
Passaic,Little Footsteps Child Development Center,973-696-4097,0 to 6,105,Wayne,1 Pal Drive,,7470,"1 Pal Drive,Wayne, NJ 7470",NA,NA
Bergen,Rainbow Castle Pre School Inc.,201-883-1919,0 to 13,93,Hackensack,142 - 148 Main Street,,7601,"142 - 148 Main Street,Hackensack, NJ 7601",NA,NA
Camden,Discovery Corner Child Care and Enrichment Center,856-667-6333,0 to 13,120,Cherry Hill,"53 Haddonfield Road, Suite 322",,8002,"53 Haddonfield Road, Suite 322,Cherry Hill, NJ 8002",NA,NA
Bergen,"The Little School, LLC",201-689-0034,0 to 6,45,Waldwick,18 Walter Hammond Place,,7463,"18 Walter Hammond Place,Waldwick, NJ 7463",NA,NA
Sussex,Project Self-Sufficiency Little Sprouts Early Learning Cente,973-940-3500,0 to 13,86,Newton,127 Mill Street,,7860,"127 Mill Street,Newton, NJ 7860",NA,NA
Union,New Hope Memorial Child Care Center,908-352-0100,0 to 13,49,Elizabeth,91 Division Street,,7201,"91 Division Street,Elizabeth, NJ 7201",NA,NA
Camden,"Children of America of Sicklerville, LLC",609-625-1105,0 to 13,240,Sicklerville,60 Kelly Drive,,8081,"60 Kelly Drive,Sicklerville, NJ 8081",NA,NA
Gloucester,Creation Academy PreSchool,856-467-0988,0 to 13,73,Swedesboro,360 Garwin Road,,8085,"360 Garwin Road,Swedesboro, NJ 8085",NA,NA
Morris,Bridges to Learning,973-627-1944,0 to 13,129,Rockaway,176 Route 46,,7866,"176 Route 46,Rockaway, NJ 7866",NA,NA
Middlesex,"Matawan Montessori Academy, LLC",732-970-4670,0 to 13,121,Old Bridge,432 Rt 34,Suite 4,7747,"432 Rt 34,Old Bridge, NJ 7747",NA,NA
Burlington,Kids Town Academy,609-835-4300,0 to 13,51,Willingboro,27 Charleston Road,,8046,"27 Charleston Road,Willingboro, NJ 8046",NA,NA
Bergen,Anshei Lubavitch Daycare Center,201-794-3770,0 to 13,226,Fair Lawn,10 - 10 Plaza Road,,7410,"10 - 10 Plaza Road,Fair Lawn, NJ 7410",NA,NA
Ocean,Little Thinking Caps Academy,609-752-0165,0 to 6,36,Cream Ridge,825 Monmouth Road,,8514,"825 Monmouth Road,Cream Ridge, NJ 8514",NA,NA
Ocean,Cassville Nursery,732-276-7244,0 to 13,22,Jackson,15 Cassville Road,,8527,"15 Cassville Road,Jackson, NJ 8527",NA,NA
Hudson,Viaquenti Preschool,201-217-8707,0 to 6,66,Jersey City,285 Newark Ave,,7302,"285 Newark Ave,Jersey City, NJ 7302",NA,NA
Hudson,Scribble Scrabble,201-863-2900,0 to 13,30,North Bergen,4409 Bergen Turnpike,,7047,"4409 Bergen Turnpike,North Bergen, NJ 7047",NA,NA
Hudson,PF4 Sunnyside Academy D/B/A Babyland Nursery,201-433-1884,0 to 6,30,Jersey City,353 Westside Ave,,7305,"353 Westside Ave,Jersey City, NJ 7305",NA,NA
Morris,Chabad Early Learning Center,973-625-1525,0 to 13,75,Rockaway,65 Pawnee Ave,,7866,"65 Pawnee Ave,Rockaway, NJ 7866",NA,NA
Atlantic,"Building Blocks Learning Center II, LLC",856-205-0990,0 to 13,79,Buena Vista Twp.,3495 Oak Road,,8310,"3495 Oak Road,Buena Vista Twp., NJ 8310",NA,NA
Atlantic,Kingdom Academy II,609-583-9430,0 to 13,52,Pleasantville,253 New Road,,8232,"253 New Road,Pleasantville, NJ 8232",NA,NA
Sussex,"Andover Children's Academy, LLC",973-786-5748,0 to 13,60,Andover,76 Main Street,Route 206,7821,"76 Main Street,Andover, NJ 7821",NA,NA
Middlesex,"Children of America-East Brunswick, LLC",732-390-1175,0 to 13,165,East Brunswick,130 Summerhill Road,,8816,"130 Summerhill Road,East Brunswick, NJ 8816",NA,NA
Ocean,Little Rascals Early Learning Academy,732-262-0001,0 to 13,90,Brick,567 Mantoloking Road,,8723,"567 Mantoloking Road,Brick, NJ 8723",NA,NA
Sussex,Newton Head Start,973-300-4091,0 to 6,68,Newton,111 Ryerson Avenue,First United Methodist Church,7860,"111 Ryerson Avenue,Newton, NJ 7860",NA,NA
Bergen,Yaldenu Tots Inc.,201-385-7500,0 to 6,114,Bergenfield,160 Woodbine Street,,7621,"160 Woodbine Street,Bergenfield, NJ 7621",NA,NA
Ocean,The Jackson Academy,732-833-9900,0 to 13,84,Jackson,109 East Pleasant Grove Road,,8527,"109 East Pleasant Grove Road,Jackson, NJ 8527",NA,NA
Warren,Rainbow Child Development Center,908-859-4005,0 to 13,123,Stewartsville,1733 Washington Valley Drive,,8886,"1733 Washington Valley Drive,Stewartsville, NJ 8886",NA,NA
Essex,Sunshine Day Care #6,973-751-2600,0 to 13,30,Belleville,544-546 Union Avenue,,7109,"544-546 Union Avenue,Belleville, NJ 7109",NA,NA
Burlington,Kiddie Academy of Delran,856-764-1300,0 to 13,180,Delran,2908 Route 130 N.,,8075,"2908 Route 130 N.,Delran, NJ 8075",NA,NA
Warren,Little Bears Learning Center,908-835-9010,0 to 13,83,Washington,269 Route 31 South,,7882,"269 Route 31 South,Washington, NJ 7882",NA,NA
Hudson,The Learning Tree,201-433-3900,0 to 13,30,Jersey City,411 - 413 Martin Luther King D,,7305,"411 - 413 Martin Luther King D,Jersey City, NJ 7305",NA,NA
Bergen,Tenafly Montessori Academy,201-894-8300,0 to 6,82,Tenafly,91 West Clinton Avenue,,7670,"91 West Clinton Avenue,Tenafly, NJ 7670",NA,NA
Monmouth,Marlboro Preparatory Academy,732-617-2606,0 to 13,147,Morganville,165 Amboy Road,,7751,"165 Amboy Road,Morganville, NJ 7751",NA,NA
Morris,Little Learner Academy - Denville,,0 to 13,143,Denville,89 Route 46 East,,7834,"89 Route 46 East,Denville, NJ 7834",NA,NA
Hudson,Adventures in Learning Day Care,,0 to 13,127,Hoboken,1320 Adams Street,,7030,"1320 Adams Street,Hoboken, NJ 7030",NA,NA
Middlesex,Greatstart Early Learning of South Plainfield,908-755-9669,0 to 13,103,South Plainfield,4001 Hadley Road,Suite F,7080,"4001 Hadley Road,South Plainfield, NJ 7080",NA,NA
Somerset,Cookies & Juice,908-757-8885,0 to 6,37,North Plainfield,572 Mountain Ave,,7062,"572 Mountain Ave,North Plainfield, NJ 7062",NA,NA
Passaic,Twinkling Stars Nursery School & Infant Toddler Center,973-283-6255,0 to 13,86,Bloomingdale,47 Main Street,,7403,"47 Main Street,Bloomingdale, NJ 7403",NA,NA
Ocean,Learning Ladder Child Care Center LLC,732-255-1211,0 to 13,75,Toms River,3001 Yorktown Blvd,,8753,"3001 Yorktown Blvd,Toms River, NJ 8753",NA,NA
Essex,Maggie's Kidz Early Learning and Enrichment Academy,973-371-0441,0 to 13,30,Irvington,1331 Springfield Avenue,,7111,"1331 Springfield Avenue,Irvington, NJ 7111",NA,NA
Essex,Magical Rainbow Day Care Center,973-528-2693,0 to 13,28,Bloomfield,14 Belleville Avenue,,7003,"14 Belleville Avenue,Bloomfield, NJ 7003",NA,NA
Ocean,First Adventure Preschool & Childcare,609-693-3778,0 to 13,60,Forked River,430 W Lacey Road,,8731,"430 W Lacey Road,Forked River, NJ 8731",NA,NA
Bergen,Little Stars Day Care Center,201-807-1122,0 to 13,30,Ridgefield Park,240 Main Street,,7660,"240 Main Street,Ridgefield Park, NJ 7660",NA,NA
Essex,Happy Hands Day Care Learning Center,973-732-0777,0 to 13,99,Newark,90 West Peddie Street,,7112,"90 West Peddie Street,Newark, NJ 7112",NA,NA
Passaic,"All Star Kids Academy, LLC",973-839-0737,0 to 13,75,Ringwood,21 Greenwood Lake Turnpike,,7457,"21 Greenwood Lake Turnpike,Ringwood, NJ 7457",NA,NA
Essex,Precious Moments Childcare and Learning Center,973-680-1133,0 to 6,38,Bloomfield,217 Bloomfield Avenue,,7003,"217 Bloomfield Avenue,Bloomfield, NJ 7003",NA,NA
Hudson,Bright Horizons at Washington Blvd,201-610-0422,0 to 13,34,Jersey City,389 Washington Blvd.,,7302,"389 Washington Blvd.,Jersey City, NJ 7302",NA,NA
Union,Step One Academy LLC,908-753-8253,0 to 13,79,Plainfield,233 E. 5th Street,,7060,"233 E. 5th Street,Plainfield, NJ 7060",NA,NA
Essex,"New Life Daycare Center, Inc.",973-482-5080,0 to 13,52,Newark,222 Verona Avenue,,7104,"222 Verona Avenue,Newark, NJ 7104",NA,NA
Morris,Little Learner Academy - Montville,,0 to 13,120,Pine Brook,330 Changebridge Road,,7058,"330 Changebridge Road,Pine Brook, NJ 7058",NA,NA
Gloucester,Little Achievers Learning Center,856-227-9181,0 to 13,84,Turnersville,115 Johnson Road,,8012,"115 Johnson Road,Turnersville, NJ 8012",NA,NA
Union,"First Children, LLC - A Special Place",908-654-2473,0 to 6,81,Fanwood,330 South Avenue,,7023,"330 South Avenue,Fanwood, NJ 7023",NA,NA
Bergen,Ridgewood Montessori School,201-845-4356,0 to 13,186,Paramus,70 Eisenhower Drive,,7652,"70 Eisenhower Drive,Paramus, NJ 7652",NA,NA
Ocean,The Honey Tree of Ocean County,732-458-2273,0 to 13,89,Brick,1450 Route 88,,8724,"1450 Route 88,Brick, NJ 8724",NA,NA
Passaic,Ready to Learn Day Care Center,973-595-1104,0 to 13,35,Paterson,227 Haledon Avenue,,7522,"227 Haledon Avenue,Paterson, NJ 7522",NA,NA
Bergen,Creative Kingdom,201-880-7788,0 to 13,21,Hackensack,140 Prospect Avenue,,7601,"140 Prospect Avenue,Hackensack, NJ 7601",NA,NA
Essex,Children of Promise Academy,973-395-9988,0 to 13,68,East Orange,200 Midland Avenue,,7017,"200 Midland Avenue,East Orange, NJ 7017",NA,NA
Middlesex,"Callicorp, LLC",732-248-4142,0 to 13,109,Metuchen,24-30 Hillside Ave,,8840,"24-30 Hillside Ave,Metuchen, NJ 8840",NA,NA
Somerset,The Center for Great Expectations,732-247-7014,0 to 6,36,Somerset,19 A Dellwood Lane,,8873,"19 A Dellwood Lane,Somerset, NJ 8873",NA,NA
Morris,The London Day School,973-377-0311,0 to 6,75,Florham Park,10 Ridgedale Ave.,,7932,"10 Ridgedale Ave.,Florham Park, NJ 7932",NA,NA
Middlesex,The Learning Experience,732-494-7151,0 to 13,230,Edison,2650 Woodbridge Ave,,8837,"2650 Woodbridge Ave,Edison, NJ 8837",NA,NA
Bergen,Cradles to Crayons,201-967-1713,0 to 6,60,Emerson,300 Kinderkamack Road,,7630,"300 Kinderkamack Road,Emerson, NJ 7630",NA,NA
Hudson,Cradles to Crayons,201-395-0600,0 to 13,50,Jersey City,406 Communipaw Ave,,7304,"406 Communipaw Ave,Jersey City, NJ 7304",NA,NA
Camden,Mother Goose Learning Center,856-784-8300,0 to 13,60,Gibbsboro,189 Haddonfield-Berlin Rd,,8026,"189 Haddonfield-Berlin Rd,Gibbsboro, NJ 8026",NA,NA
Middlesex,The Learning Experience,732-422-8000,0 to 13,151,North Brunswick,347 Old Georges Road,,8902,"347 Old Georges Road,North Brunswick, NJ 8902",NA,NA
Morris,SOLNYSHKO Day Care Center,973-386-0900,0 to 13,52,Whippany,20 Troy Road,,7981,"20 Troy Road,Whippany, NJ 7981",NA,NA
Hudson,"Early Learning Academy - Gull's Cove, LLC",201-793-8949,0 to 13,70,Jersey City,"201 Luis Munor Marin Blvd, Uni",,7302,"201 Luis Munor Marin Blvd, Uni,Jersey City, NJ 7302",NA,NA
Hudson,Bright Horizons at Maxwell Place,,0 to 13,116,Hoboken,1125 Maxwell Lane,,7030,"1125 Maxwell Lane,Hoboken, NJ 7030",NA,NA
Essex,Sunshine Day Care Center II,973-623-8400,0 to 13,57,Newark,286 South 7th Street,,7103,"286 South 7th Street,Newark, NJ 7103",NA,NA
Atlantic,Early Years,609-241-0019,0 to 13,138,Egg Harbor Township,3003 English Creek Ave Unit A-,,8234,"3003 English Creek Ave Unit A-,Egg Harbor Township, NJ 8234",NA,NA
Monmouth,The Learning Experience,732-290-2591,0 to 13,179,Matawan,762 Route 34,,7747,"762 Route 34,Matawan, NJ 7747",NA,NA
Hudson,Kids Planet Center,973-568-2220,0 to 13,30,Harrison,226 Harrison Ave,,7029,"226 Harrison Ave,Harrison, NJ 7029",NA,NA
Passaic,Fatima Day Care Center,973-471-5322,0 to 13,42,Passaic,24 Pennington Avenue,,7055,"24 Pennington Avenue,Passaic, NJ 7055",NA,NA
Morris,The Salvation Army Day Care Center,973-539-2700,0 to 6,85,Morristown,95 Spring Street,,7960,"95 Spring Street,Morristown, NJ 7960",NA,NA
Monmouth,Genius Kids Academy,732-851-6427,0 to 13,145,Marlboro Township,701 Ginesi Drive,,7751,"701 Ginesi Drive,Marlboro Township, NJ 7751",NA,NA
Burlington,YMCA Childcare at Rancocas Valley,609-267-0830,0 to 6,30,Mount Holly,520 Jacksonville Road,,8060,"520 Jacksonville Road,Mount Holly, NJ 8060",NA,NA
Essex,Blessed Hope Daycare Center,201-532-2026,0 to 6,104,Orange,237 Scotland Road,,7050,"237 Scotland Road,Orange, NJ 7050",NA,NA
Passaic,Sunshine Learning Center,862-571-4256,0 to 13,39,Paterson,414 5th Avenue,,7514,"414 5th Avenue,Paterson, NJ 7514",NA,NA
Hudson,The Salvation Army Early Childhd Edu Ctr,201-435-7355,0 to 13,125,Jersey City,562 Bergen Avenue,,7304,"562 Bergen Avenue,Jersey City, NJ 7304",NA,NA
Hudson,"America's Hope Day Care and Education, Inc.",201-892-5073,0 to 13,148,Jersey City,925 West Side Ave.,,7306,"925 West Side Ave.,Jersey City, NJ 7306",NA,NA
Ocean,"The Special Children's Center, Inc",732-367-0099,0 to 13,180,Lakewood,1400 Prospect Street,,8701,"1400 Prospect Street,Lakewood, NJ 8701",NA,NA
Bergen,Susana's Day Care Center Inc,973-546-0600,0 to 6,17,Garfield,184 Lincoln Place,,7026,"184 Lincoln Place,Garfield, NJ 7026",NA,NA
Passaic,Step By Step Day Care LLC,973-772-7411,0 to 13,40,Clifton,447 Clifton Avenue,,7011,"447 Clifton Avenue,Clifton, NJ 7011",NA,NA
Essex,Smiling Babies Family Daycare,973-677-7854,0 to 13,30,East Orange,163-167 North Park Street,,7017,"163-167 North Park Street,East Orange, NJ 7017",NA,NA
Essex,New Life Christian Academy,973-566-0810,0 to 13,15,Bloomfield,12 Prospect Street,,7003,"12 Prospect Street,Bloomfield, NJ 7003",NA,NA
Bergen,The Learning Experience,201-476-0200,0 to 6,177,Montvale,295 W Grand Avenue,,7645,"295 W Grand Avenue,Montvale, NJ 7645",NA,NA
Essex,Future Generation,973-743-4034,0 to 13,60,Bloomfield,261 Broad Street,,7003,"261 Broad Street,Bloomfield, NJ 7003",NA,NA
Camden,Loida Development Center II LLC,856-203-3022,0 to 13,33,Camden,4545 Crescent Blvd,,8105,"4545 Crescent Blvd,Camden, NJ 8105",NA,NA
Camden,Goddard School,856-401-3111,0 to 13,126,Sicklerville,1601 Sicklerville Road,,8081,"1601 Sicklerville Road,Sicklerville, NJ 8081",NA,NA
